dual_feasibility,objective,primal_feasibility,t,v1,v2,v3,v4,v5,v6
0.0,9372.645585014956,0.690252251037226,0.0,0.5015004883556822,0.34488551639433696,0.7804123213741925,0.8498295517729584,0.028314829050969936,0.007317725870459979
4.5763070857637204e-8,9373.645022616376,0.6915048018946693,6.029222370869053e-8,0.5016016035433933,0.34308395734775937,0.7793866069685815,0.8510539551420361,0.028081957124308873,0.007006394432322803
5.137180697968554e-7,9383.722284152755,0.7036005117149318,6.632144607955958e-7,0.5026868243205574,0.3251714203853594,0.7691488121660528,0.8634295103998688,0.02574947862843325,0.0038706952712528344
6.520998123238411e-6,9449.567020646555,0.7845819893362643,6.692436831664648e-6,0.5186850960822234,0.1594115006516692,0.6710542241902764,0.9939681393799777,0.0024462468637816565,-0.0283942459859268
1.7373299931456463e-5,9401.001895328982,0.8093450031404268,1.4228964795250964e-5,0.5428286687179095,0.0009516091785797171,0.5692168057235569,1.1475015358011424,-0.02557520869014601,-0.06519596126238048
3.407340944287825e-5,9307.47103646358,0.7958647515062994,2.3649624749733856e-5,0.563802418192901,-0.10362563217447081,0.4872200586790502,1.2795960570086757,-0.058283589887221716,-0.0957188187168097
0.00012244161784920232,9982.388882800275,1.1945476737892344,6.833971751594438e-5,0.5645762504883515,-0.05907331485668983,0.3820904614226214,1.4442303594557722,-0.2136702570753197,-0.11035285827860349
0.0002086908752320537,10885.423340935484,1.2618736691620949,0.0001078322939326238,0.5353409067033227,0.05212853197477141,0.3567847566179716,1.4782705377474583,-0.34607828421146947,-0.08161043295151905
0.0003140065535315202,11507.140467013716,1.3201956153220038,0.0001525388422024899,0.506067364988132,0.11930527290910575,0.3356057592781597,1.5080090972590228,-0.46217403612513913,-0.049589980384650824
0.0006178752911886568,12074.866264934532,1.3531222397264184,0.00027803299271583694,0.4746635258708303,0.17811175917461483,0.32016840691644644,1.5289920787676732,-0.5748872968863707,-0.013240269509490279
0.0012200688211434834,12072.697792183697,1.3524642714889314,0.0005258942210249724,0.4740988840925681,0.17859046737789136,0.3197352229877786,1.5289520985273257,-0.5769319218641991,-0.012611570731137377
0.0038620616663020374,12035.30156160244,1.3468056033224112,0.0016097237197433474,0.47382719339133034,0.17782581179424448,0.31890446732217476,1.5271847937054985,-0.5783277892176956,-0.012441918635549921
0.005353520602406106,12015.086809584736,1.343663392623083,0.0022218512566988375,0.4736100883970868,0.17748047723223787,0.3184135390910198,1.5262230756975164,-0.5793242679068445,-0.012270585342757143
0.016662221376027957,11861.22178508644,1.3197720424241928,0.006878870476591158,0.4720470415526233,0.17463361572138636,0.31480368075951687,1.5188626116227921,-0.5864497058139708,-0.011076747762701596
0.028294209724258477,11704.549462653116,1.2952021108482226,0.011696418119921049,0.47040838229773213,0.17156491038848537,0.31122881021561494,1.511263731025215,-0.5936057163191402,-0.009822779224563696
0.05713805568355948,11323.661481089508,1.2344899621058072,0.023740287228245775,0.4662249599661694,0.16336756715265577,0.30295150923808917,1.4923552689659225,-0.6105515152955916,-0.006624855534688693
0.07975507783274953,11033.705136029228,1.187362999455093,0.03325405883701598,0.46283757794002867,0.15641462043582863,0.2970217333318318,1.477546742374569,-0.6230343153524308,-0.004048209670515399
0.11131717429613808,10643.304708156898,1.1227250209230608,0.04658278585400119,0.4579691154840935,0.14605794854281273,0.2895007732735746,1.4570481495770062,-0.6392834790778259,-0.0003851702378652151
0.12975749860031793,10423.367122379308,1.0857286109684285,0.054376975892367674,0.4550545375727527,0.139706821293925,0.2854819905739039,1.4452176233366645,-0.6481581739147219,0.001778725002012644
0.15676787177605206,10112.395365427172,1.0327405114802402,0.06577646531864145,0.4506981355879518,0.13007721015359558,0.2800392503188078,1.4281497477707947,-0.6603645091515092,0.004962419091266425
0.18032525269398705,9852.105925065178,0.9878009742229839,0.0756836461036113,0.4468175636612387,0.12141712863451637,0.2756788321853135,1.4135611196643811,-0.6702725380053537,0.007742020557853898
0.22056657295897844,9430.513370683178,0.9139586545748257,0.09249106847793037,0.4400151960008491,0.10619880355461146,0.26892731501451356,1.389368663049214,-0.6857165779726804,0.01247141958171745
0.2503623875190051,9136.378797333571,0.8617200546453534,0.1048173925467599,0.4348366257454162,0.09467931228743806,0.2643977324930477,1.3720922576691752,-0.6960389564690371,0.015945757417687827
0.2936538000759208,8734.459862347012,0.7894994310788637,0.122518787225923,0.42709045299045906,0.07770638218104396,0.2583413575042236,1.347995985173275,-0.7095247960405012,0.02093367271774374
0.3325810110119159,8396.71642952366,0.7452111528666643,0.1382109986143471,0.41989033476951876,0.06231063691663043,0.25327085937144433,1.3273454363691548,-0.720283140962062,0.02535190183370611
0.3803221948650537,8009.828850804796,0.7478934857604581,0.15715689739163646,0.41073908490343736,0.04337473642229614,0.24731596137864126,1.3032961846566948,-0.7319347011800238,0.030681093313316126
0.42787627980397264,7650.995331577959,0.7504082244331526,0.17570110102227116,0.40125642781145177,0.024546410912336475,0.2414605086787447,1.2806692132702384,-0.7420721940135601,0.03589705162613365
0.47988575005831713,7285.035686871469,0.753098622301015,0.19561462328346785,0.39045252391741553,0.004074323646404209,0.23490092041359,1.2573321086582434,-0.7517234369234667,0.0415082556587644
0.5303255603439337,6953.2765092449245,0.7557427008259192,0.21456834513297574,0.37953944295972675,-0.015602949835214671,0.22816699377300506,1.2359879459394707,-0.7598595375921358,0.04687346932615849
0.5809817582355878,6640.25160498026,0.7643114955664085,0.2332557372333579,0.3681546412311465,-0.0351501476495559,0.22083056133089438,1.2157051812789355,-0.7670022152846321,0.05220502853593676
0.6377136887298377,6310.894245194728,0.7819766378898949,0.2537787954115647,0.35492086701219483,-0.05675384351680641,0.21169278978453596,1.1942085393824786,-0.7739783972740971,0.05813420641762052
0.6926475810165234,6011.124914745171,0.7981299698752886,0.27325058716042205,0.3416560138764062,-0.07736086685086806,0.20168119707398285,1.1744649168004733,-0.7798891593440643,0.06386069318089385
0.7473943644446195,5729.428403130283,0.8135332784687458,0.29227131606614887,0.3280458509424414,-0.0975760253861377,0.19032123036414042,1.1556839857574694,-0.7851297683848545,0.06958114381679786
0.8008645281758564,5469.5133231396485,0.8281058622379591,0.3104879080012247,0.314429974825325,-0.11700845753323519,0.17765193720932776,1.1380538059006793,-0.789785531737699,0.0752093972981213
0.852840821918948,5230.4812459689965,0.8419919852498442,0.3278693571133548,0.3009440368895705,-0.13560931290773628,0.16359784406704406,1.1214500541154524,-0.7940272524116773,0.08074726044649132
0.9028840919047586,5012.644547949213,0.855241916919613,0.34432352753587586,0.28778309344739417,-0.15325374879669265,0.14819046378121153,1.1058356959986166,-0.7979927994889965,0.08616808250495432
0.9476300640533853,4827.785024399279,0.8670987212503147,0.3588315822854501,0.2758949751093076,-0.16885197445995598,0.1326140351753026,1.0920561093801695,-0.8015667805167045,0.09111869558115658
0.9939831441739644,4646.125458225692,0.8794969164308075,0.37369947815806365,0.26348701667675656,-0.1848723696897125,0.11439124105215398,1.0778366178824967,-0.8054344451267533,0.09638374041689378
1.0356121588469056,4491.608530767282,0.8908180181920988,0.38696537810511245,0.25226766180172405,-0.19920100120091527,0.09590582880776317,1.0649859777560406,-0.8091808779558307,0.10126921459236528
1.0755399667248413,4351.309529758074,0.90192684462668,0.3996796289881969,0.24142901283316828,-0.2129670651634849,0.07592355829713378,1.0524506620966243,-0.8131555671714874,0.10614124354406777
1.1116246001345689,4231.520106213319,0.9122523396373784,0.4112415680296404,0.23153869629601356,-0.2255202944283413,0.05556283529559605,1.04079972172469,-0.8172075420604666,0.11075498422905364
1.1442322007907988,4129.448061383326,0.9218880855926922,0.4218391614375139,0.2224783256918417,-0.23706356564069497,0.03483202487430105,1.0298526467565832,-0.8213883579631395,0.11515799542079358
1.2000816224003474,3970.3214822391888,0.9393578340821789,0.4407285568825813,0.2064354919082619,-0.2577799459121014,-0.007850464588146921,1.0094988751893823,-0.8303005211663098,0.12349471715650416
1.211580194794475,3940.558327097254,0.9431464357726663,0.4448227908310861,0.20298037758864576,-0.26231372155735644,-0.018176097975936212,1.0049172871162295,-0.8325230680979421,0.12539305282847163
1.2389185695609533,3875.1299393663558,0.9525490462332004,0.45505837570234814,0.19439447386454867,-0.27374663623047335,-0.045915687608332756,0.9931310087935393,-0.83864052876134,0.13030593390249506
1.275183497824561,3805.7293668730713,0.9663616646477796,0.4706958334063568,0.18148568771247175,-0.2915507856703901,-0.09421412131583393,0.9740690387246668,-0.8497923688326022,0.13835618779147776
1.2913283786135268,3787.4633051315486,0.9734832046545436,0.47945523542526486,0.1743941602525648,-0.30175999365815154,-0.12477510323478859,0.9627452395084594,-0.8571558113892552,0.14321167252033115
1.3085073533818148,3800.9779158677693,0.9836376180047809,0.4941837281002301,0.1627497192994956,-0.31946837131942946,-0.18277157079517692,0.942431861328552,-0.871732593598118,0.1520976211604382
1.3106142693237144,3846.150355663289,0.9882149824859816,0.5035095309112322,0.15557356405838707,-0.331139602489445,-0.22427089512581003,0.928635359421153,-0.8825891283390424,0.15829178244414083
1.3063446849587406,3903.2433391126506,0.990277290962217,0.5104763292859349,0.15031256214618852,-0.34016700289355944,-0.25797573963071346,0.9177873498928045,-0.8916340959710464,0.16327241226256267
1.2806393852327853,4079.6364166190147,0.9897477018011109,0.5236336597207801,0.14059162883309875,-0.3581619970764284,-0.328672698766866,0.8958650364819143,-0.9111652298441207,0.1736971317583293
1.239963482935066,4297.034723453248,0.9837614984674526,0.5339340100608896,0.13313824985775535,-0.37336488440119336,-0.39109857106410073,0.8772588995979134,-0.9289136425183722,0.1829897968335447
1.1716780211259723,4626.100664941192,0.9699691659611838,0.5448224498720317,0.12531314923290507,-0.39091344026162306,-0.4646748908135308,0.856025479165028,-0.9502503216108521,0.19419453357785066
1.1252540402462015,4841.330240420446,0.9592191396327454,0.5503535730054603,0.12132389223085277,-0.40055103313238416,-0.5052812746537121,0.8445809768330861,-0.9621590712440541,0.20053226673638963
1.0547927276734583,5165.148640043987,0.9414339921413519,0.5572674769222461,0.11627835105177012,-0.41344240332727616,-0.559332560528235,0.8296097589825095,-0.9780919652110578,0.20917799729585107
0.9079675521235813,5859.249822412759,0.8992663464159415,0.5686575361475087,0.1076515501042804,-0.4372384608186276,-0.6568679575387543,0.803246909106757,-1.0068560669540483,0.2255005080304632
0.8416820571951569,6196.377962055263,0.877572082932521,0.5731292630091932,0.10411931176778211,-0.4475910515049726,-0.698163577930539,0.7923413376742809,-1.0189731471577625,0.23270289261398527
0.7565576224193613,6677.4887351832795,0.8457480171532346,0.5787189215862989,0.09953569473273881,-0.4614377564656145,-0.7522239966021809,0.7782799474087729,-1.0347279926931248,0.24243229264284016
0.6506494238884574,7497.416391808792,0.7900874338170614,0.586722485061939,0.09253272769557877,-0.48329246500553,-0.8343944702867476,0.7573739078883064,-1.058277449842093,0.25791652368265583
0.61842514905903,8056.547403695962,0.7515704124561966,0.5913942714862488,0.08813235162969325,-0.4973163079291173,-0.8849452479785904,0.7447871551705953,-1.0724362909131193,0.2678818436633735
0.6616095495784591,9103.664786246343,0.6790666397682543,0.5989570646545741,0.08038637314599885,-0.5222311421237067,-0.9707160049947251,0.723931935079262,-1.0957065288193961,0.28560923965016893
0.7731971427379297,9918.832896528853,0.622754036884875,0.6040582547153512,0.07464936915720294,-0.5407126311903819,-1.0312190793386475,0.7096186075289566,-1.1114444811111415,0.2987487865017121
1.0451855985976672,11292.395136555173,0.52889318599646,0.6115604075379862,0.06528503552843432,-0.5705832468481866,-1.123775215541445,0.6883939366661187,-1.134169591635666,0.3199187115762657
1.3370363714797981,12556.061929244492,0.4741765789492469,0.6175831300975129,0.056837527837707055,-0.5970287519210739,-1.2008561135641067,0.6713753569425238,-1.1516288856120915,0.338551447065926
