benchmark,bits,distance,dual_status,ipopt_objective,objective,primal_status,random,time
unitbox_c_10_10_1_100.jl,0,0.0042600560692758315,true,-14.179042131697477,-14.178933301632968,true,false,4.680000000006019
unitbox_c_10_10_1_100.jl,0,0.004874495049426743,true,-14.179042131697477,-14.179020843893145,true,true,5.42999999999983
unitbox_c_10_10_1_100.jl,0,1.8364365460559013,true,-14.179042131697477,-12.62562335567084,true,true,2.610000000002524
unitbox_c_10_10_1_100.jl,0,0.0026557665851653952,true,-14.179042131697477,-14.17902608408967,true,true,5.250000000001315
unitbox_c_10_10_1_100.jl,0,0.0037737641651322874,true,-14.179042131697477,-14.1789100221009,true,true,4.20000000000998
unitbox_c_10_10_1_100.jl,0,0.002486573611783287,true,-14.179042131697477,-14.179004074244116,true,true,8.039999999979477
unitbox_c_10_10_1_100.jl,0,0.0043879185062297025,true,-14.179042131697477,-14.178906759618268,true,true,4.860000000004534
unitbox_c_10_10_1_100.jl,0,0.009270304428615412,true,-14.179042131697477,-14.178959191699251,true,true,5.040000000003048
unitbox_c_10_10_1_100.jl,0,0.0034109273017254426,true,-14.179042131697477,-14.178939736144862,true,true,5.31000000000082
unitbox_c_10_10_1_100.jl,0,0.0024077340362666693,true,-14.179042131697477,-14.17900960319528,true,true,6.389999999991908
unitbox_c_10_10_1_100.jl,0,0.0030105734681582044,true,-14.179042131697477,-14.178932805598022,true,true,7.7399999999807685
unitbox_c_10_10_1_100.jl,0,0.004611070270403997,true,-14.179042131697477,-14.179007997694562,true,true,4.140000000010475
unitbox_c_10_10_1_100.jl,0,0.0027727082585131176,true,-14.179042131697477,-14.17890154623771,true,true,7.259999999984729
unitbox_c_10_10_1_100.jl,0,0.004267990883463762,true,-14.179042131697477,-14.179007839907554,true,true,5.100000000002553
unitbox_c_10_10_1_100.jl,0,0.006740240369817233,true,-14.179042131697477,-14.179000553123645,true,true,4.230000000009732
unitbox_c_10_10_1_100.jl,0,0.004205945724215229,true,-14.179042131697477,-14.179006718408816,true,true,5.220000000001563
unitbox_c_10_10_1_100.jl,0,0.009550637652537627,true,-14.179042131697477,-14.178923777043842,true,true,3.3000000000070444
unitbox_c_10_10_1_100.jl,0,0.0043379023541845665,true,-14.179042131697477,-14.178916511745769,true,true,4.770000000005276
unitbox_c_10_10_1_100.jl,0,0.004367492282407121,true,-14.179042131697477,-14.1789106624715,true,true,4.890000000004286
unitbox_c_10_10_1_100.jl,0,0.001823402335702168,true,-14.179042131697477,-14.179004395710383,true,true,4.770000000005276
unitbox_c_10_10_1_100.jl,0,0.004503697714314205,true,-14.179042131697477,-14.179014033302918,true,true,5.66999999999785
unitbox_c_10_10_1_100.jl,8,0.0720226058700603,false,-14.179042131697477,-14.175713843637151,false,false,5.909999999995869
unitbox_c_10_10_1_100.jl,8,1.0130383786456878,true,-14.179042131697477,-13.152811328903992,true,true,3.0900000000056687
unitbox_c_10_10_1_100.jl,8,0.4861729345394858,false,-14.179042131697477,-14.148595240522106,false,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,0.8679070390784734,false,-14.179042131697477,-13.627961738817406,true,true,10.000020000021332
