benchmark,bits,delay,distance,dual_status,ipopt_objective,objective,primal_status,random,time
unitbox_c_10_10_1_100.jl,10,0.001,0.0045536286792608755,true,-14.179042131697477,-14.17898172440435,true,false,4.170000000010227
unitbox_c_10_10_1_100.jl,10,0.01,0.02320022300922336,true,-14.179042131697477,-14.178680061721325,true,false,5.699999999997602
unitbox_c_10_10_1_100.jl,10,0.1,0.0495002568872261,true,-14.179042131697477,-14.176880788781823,true,false,5.31000000000082
unitbox_c_10_10_1_100.jl,10,0.2,0.02998640040476621,true,-14.179042131697477,-14.176639536460133,true,false,8.999999999999977
unitbox_c_10_10_1_100.jl,10,0.4,0.01965280520911784,true,-14.179042131697477,-14.177832286633727,true,false,10.000020000021332
unitbox_c_10_10_1_50.jl,10,0.001,1.4357494236403021,true,-7.380000185475224,-6.640180595586242,true,false,10.000020000021332
unitbox_c_10_10_1_50.jl,10,0.01,1.4256734085286566,true,-7.380000185475224,-6.645567894714191,true,false,10.000020000021332
unitbox_c_10_10_1_50.jl,10,0.1,2.682204133910197e-8,true,-7.380000185475224,-7.380000000000001,true,false,2.610000000002524
unitbox_c_10_10_1_50.jl,10,0.2,1.4142135731728986,true,-7.380000185475224,-6.66,true,false,2.7600000000035068
unitbox_c_10_10_1_50.jl,10,0.4,1.7320508202249572,true,-7.380000185475224,-6.580000000000001,true,false,1.799999999998698
unitbox_c_10_10_2_100.jl,10,0.001,2.1140389199029395,true,-6.420000192955972,-6.5446394284552625,true,false,4.140000000010475
unitbox_c_10_10_2_100.jl,10,0.01,1.7451359530688597,true,-6.420000192955972,-5.88999487325486,true,false,1.6799999999988
unitbox_c_10_10_2_100.jl,10,0.1,2.5599075166168406e-8,true,-6.420000192955972,-6.42,true,false,1.8899999999986214
unitbox_c_10_10_2_100.jl,10,0.2,2.5599075166168406e-8,true,-6.420000192955972,-6.42,true,false,3.3600000000074375
unitbox_c_10_10_2_100.jl,10,0.4,2.5599075166168406e-8,true,-6.420000192955972,-6.42,true,false,2.7300000000033102
unitbox_c_10_10_2_50.jl,10,0.001,2.6756799082519708e-8,true,-6.950000192570484,-6.949999999999999,true,false,1.8299999999986725
unitbox_c_10_10_2_50.jl,10,0.01,2.6756799082519708e-8,true,-6.950000192570484,-6.949999999999999,true,false,8.069999999980118
unitbox_c_10_10_2_50.jl,10,0.1,2.6756799082519708e-8,true,-6.950000192570484,-6.949999999999999,true,false,4.770000000005276
unitbox_c_10_10_2_50.jl,10,0.2,2.6756799082519708e-8,true,-6.950000192570484,-6.949999999999999,true,false,1.0199999999993612
unitbox_c_10_10_2_50.jl,10,0.4,1.4142135726192324,true,-6.950000192570484,-6.1899999999999995,true,false,3.4200000000078306
unitbox_c_10_10_3_100.jl,10,0.001,1.414213571612974,true,-11.450000318656995,-11.790000000000001,true,false,0.9899999999993867
unitbox_c_10_10_3_100.jl,10,0.01,2.8079265058217982e-8,true,-11.450000318656995,-11.450000000000001,true,false,0.4199999999998713
unitbox_c_10_10_3_100.jl,10,0.1,1.414213818929414,true,-11.450000318656995,-10.21006670715435,true,false,1.4099999999990296
unitbox_c_10_10_3_100.jl,10,0.2,1.414213571612974,true,-11.450000318656995,-11.790000000000001,true,false,3.7500000000099925
unitbox_c_10_10_3_100.jl,10,0.4,1.4142135746810973,true,-11.450000318656995,-10.21,true,false,5.040000000003048
unitbox_c_10_10_3_50.jl,10,0.001,1.7320508186292536,true,-8.600000202584562,-10.299999999999999,true,false,1.5299999999989276
unitbox_c_10_10_3_50.jl,10,0.01,1.7320508186292536,true,-8.600000202584562,-10.299999999999999,true,false,0.8999999999994632
unitbox_c_10_10_3_50.jl,10,0.1,1.7320508186292536,true,-8.600000202584562,-10.299999999999999,true,false,1.1999999999992081
unitbox_c_10_10_3_50.jl,10,0.2,1.7320508186292536,true,-8.600000202584562,-10.299999999999999,true,false,5.4599999999995825
unitbox_c_10_10_3_50.jl,10,0.4,1.7320508186292536,true,-8.600000202584562,-10.299999999999999,true,false,3.210000000006455
unitbox_c_10_15_1_100.jl,10,0.001,0.04937441686338318,false,-11.63646049982129,-11.60803299506059,false,false,10.000020000021332
unitbox_c_10_15_1_100.jl,10,0.01,1.1620983787550052,false,-11.63646049982129,-10.916309585230835,true,false,7.4699999999829965
unitbox_c_10_15_1_100.jl,10,0.1,0.4627555563038493,false,-11.63646049982129,-13.273717549799846,false,false,10.000020000021332
unitbox_c_10_15_1_100.jl,10,0.2,0.8004228490709504,false,-11.63646049982129,-8.541892977117978,true,false,10.000020000021332
unitbox_c_10_15_1_100.jl,10,0.4,1.493347091596094,true,-11.63646049982129,-8.642324655670556,false,false,10.000020000021332
unitbox_c_10_15_1_50.jl,10,0.001,2.5339731157252614e-8,true,-5.390000158863376,-5.390000000000001,true,false,3.8100000000103855
unitbox_c_10_15_1_50.jl,10,0.01,2.5339731157252614e-8,true,-5.390000158863376,-5.390000000000001,true,false,6.809999999988443
unitbox_c_10_15_1_50.jl,10,0.1,1.8265611347491655,true,-5.390000158863376,-5.159528107580243,true,false,10.000020000021332
unitbox_c_10_15_1_50.jl,10,0.2,1.4142135646450669,true,-5.390000158863376,-5.38,true,false,1.6799999999988
unitbox_c_10_15_1_50.jl,10,0.4,1.4142135646450669,true,-5.390000158863376,-5.38,true,false,3.330000000007241
unitbox_c_10_15_2_100.jl,10,0.001,2.8852930733838003e-8,true,-28.070000530332194,-28.069999999999997,true,false,1.6499999999988255
unitbox_c_10_15_2_100.jl,10,0.01,2.8852930733838003e-8,true,-28.070000530332194,-28.069999999999997,true,false,1.8299999999986725
unitbox_c_10_15_2_100.jl,10,0.1,2.8852930733838003e-8,true,-28.070000530332194,-28.069999999999997,true,false,0.8399999999995142
unitbox_c_10_15_2_100.jl,10,0.2,2.8852930733838003e-8,true,-28.070000530332194,-28.069999999999997,true,false,2.670000000002917
unitbox_c_10_15_2_100.jl,10,0.4,2.8852930733838003e-8,true,-28.070000530332194,-28.069999999999997,true,false,1.0799999999993102
unitbox_c_10_15_2_50.jl,10,0.001,0.07658449614891233,false,-11.60277253958132,-11.615025791609028,false,false,10.000020000021332
unitbox_c_10_15_2_50.jl,10,0.01,0.05134989877804405,false,-11.60277253958132,-11.610988256029689,false,false,10.000020000021332
unitbox_c_10_15_2_50.jl,10,0.1,0.04201612487260822,false,-11.60277253958132,-11.609494852204817,false,false,10.000020000021332
unitbox_c_10_15_2_50.jl,10,0.2,0.12932423471222584,true,-11.60277253958132,-11.582080394671246,true,false,10.000020000021332
unitbox_c_10_15_2_50.jl,10,0.4,0.6375227994677745,true,-11.60277253958132,-11.50076862431036,true,false,1.0499999999993357
unitbox_c_10_15_2_50.jl_new,10,0.001,0.010574295874305986,true,-11.60277253958132,-11.601080384885318,true,false,10.000020000021332
unitbox_c_10_15_2_50.jl_new,10,0.01,0.046738296976048165,false,-11.60277253958132,-11.61025039974137,false,false,10.000020000021332
unitbox_c_10_15_2_50.jl_new,10,0.1,0.0816873040895417,false,-11.60277253958132,-11.589702303570876,true,false,10.000020000021332
unitbox_c_10_15_2_50.jl_new,10,0.2,0.198641488004721,true,-11.60277253958132,-11.570989634144446,true,false,10.000020000021332
unitbox_c_10_15_2_50.jl_new,10,0.4,0.041657614550781305,true,-11.60277253958132,-11.609437490553324,false,false,10.000020000021332
unitbox_c_10_15_2_50_new.jl,10,0.001,0.08041396571266306,false,-11.60277253958132,-11.589906037711176,true,false,10.000020000021332
unitbox_c_10_15_2_50_new.jl,10,0.01,0.021887978301886934,false,-11.60277253958132,-11.606274348753502,false,false,10.000020000021332
unitbox_c_10_15_2_50_new.jl,10,0.1,0.08405912510994203,true,-11.60277253958132,-11.589322812207612,true,false,10.000020000021332
unitbox_c_10_15_2_50_new.jl,10,0.2,0.10810924901297743,false,-11.60277253958132,-11.620069752067279,false,false,10.000020000021332
unitbox_c_10_15_2_50_new.jl,10,0.4,0.7673267014075154,true,-11.60277253958132,-11.480000000000002,true,false,1.499999999998953
unitbox_c_10_15_3_100.jl,10,0.001,2.7413817187994272e-8,true,-7.980000305565994,-7.979999999999999,true,false,2.3400000000007553
unitbox_c_10_15_3_100.jl,10,0.01,2.7413817187994272e-8,true,-7.980000305565994,-7.979999999999999,true,false,2.8500000000040964
unitbox_c_10_15_3_100.jl,10,0.1,2.7413817187994272e-8,true,-7.980000305565994,-7.979999999999999,true,false,3.5400000000086167
unitbox_c_10_15_3_100.jl,10,0.2,2.7413817187994272e-8,true,-7.980000305565994,-7.979999999999999,true,false,1.4699999999989786
unitbox_c_10_15_3_100.jl,10,0.4,2.449489763136205,true,-7.980000305565994,0.7200000000000001,true,false,0.29999999999997334
unitbox_c_10_15_3_50.jl,10,0.001,2.000000016112811,true,-7.830000170106608,-7.0,true,false,2.0099999999985934
unitbox_c_10_15_3_50.jl,10,0.01,2.000000016112811,true,-7.830000170106608,-7.0,true,false,0.6899999999996418
unitbox_c_10_15_3_50.jl,10,0.1,2.000000016112811,true,-7.830000170106608,-7.0,true,false,2.4000000000011483
unitbox_c_10_15_3_50.jl,10,0.2,2.6949944096200945e-8,true,-7.830000170106608,-7.83,true,false,1.4699999999989786
unitbox_c_10_15_3_50.jl,10,0.4,2.6949944096200945e-8,true,-7.830000170106608,-7.83,true,false,1.4699999999989786
unitbox_c_10_20_1_100.jl,10,0.001,2.8695216800339494e-8,true,-8.19000024730909,-8.19,true,false,4.410000000008247
unitbox_c_10_20_1_100.jl,10,0.01,1.4002572413227956,true,-8.19000024730909,-7.249264866543143,true,false,0.9899999999993867
unitbox_c_10_20_1_100.jl,10,0.1,0.9491958482990931,false,-8.19000024730909,-7.7157471701781235,true,false,10.000020000021332
unitbox_c_10_20_1_100.jl,10,0.2,2.8695216800339494e-8,true,-8.19000024730909,-8.19,true,false,2.0099999999985934
unitbox_c_10_20_1_100.jl,10,0.4,2.8695216800339494e-8,true,-8.19000024730909,-8.19,true,false,4.230000000009732
unitbox_c_10_20_1_50.jl,10,0.001,1.414213570780297,true,-5.04000019035865,-5.4,true,false,1.1999999999992081
unitbox_c_10_20_1_50.jl,10,0.01,1.414213570780297,true,-5.04000019035865,-5.4,true,false,1.319999999999106
unitbox_c_10_20_1_50.jl,10,0.1,2.5052015688393285e-8,true,-5.04000019035865,-5.04,true,false,3.51000000000842
unitbox_c_10_20_1_50.jl,10,0.2,2.5052015688393285e-8,true,-5.04000019035865,-5.04,true,false,1.5899999999988765
unitbox_c_10_20_1_50.jl,10,0.4,2.3145122205529316,true,-5.04000019035865,-3.2720759917977276,true,false,5.31000000000082
unitbox_c_10_20_2_100.jl,10,0.001,0.038555760046240735,true,-15.944192991720142,-15.943190039237482,true,false,2.610000000002524
unitbox_c_10_20_2_100.jl,10,0.01,0.038751823141521424,true,-15.944192991720142,-15.943186230999967,true,false,2.370000000000952
unitbox_c_10_20_2_100.jl,10,0.1,0.037276576164607604,true,-15.944192991720142,-15.94327868282914,true,false,1.8299999999986725
unitbox_c_10_20_2_100.jl,10,0.2,0.03631185208335317,true,-15.944192991720142,-15.943341016365727,true,false,2.8200000000039
unitbox_c_10_20_2_100.jl,10,0.4,0.057160864193512816,true,-15.944192991720142,-15.942806281983406,true,false,4.830000000004781
unitbox_c_10_20_2_50.jl,10,0.001,2.818827874156288e-8,true,-3.080000149309092,-3.08,true,false,1.6799999999988
unitbox_c_10_20_2_50.jl,10,0.01,2.0000000184281217,true,-3.080000149309092,-2.4699999999999998,true,false,2.370000000000952
unitbox_c_10_20_2_50.jl,10,0.1,1.7320508207603724,true,-3.080000149309092,-3.1300000000000003,true,false,5.340000000000573
unitbox_c_10_20_2_50.jl,10,0.2,2.0000000184281217,true,-3.080000149309092,-2.4699999999999998,true,false,6.3299999999924035
unitbox_c_10_20_2_50.jl,10,0.4,1.4142135748707731,true,-3.080000149309092,-2.9299999999999997,true,false,1.2299999999991826
unitbox_c_10_20_3_100.jl,10,0.001,0.11774734276219645,false,-5.898699756310571,-5.819571717342157,true,false,10.000020000021332
unitbox_c_10_20_3_100.jl,10,0.01,1.2842427815703672,true,-5.898699756310571,-5.73,true,false,0.8099999999995398
unitbox_c_10_20_3_100.jl,10,0.1,0.06120835146649411,false,-5.898699756310571,-5.916284501185975,false,false,10.000020000021332
unitbox_c_10_20_3_100.jl,10,0.2,0.317947970071485,true,-5.898699756310571,-5.706425843816184,true,false,10.000020000021332
unitbox_c_10_20_3_100.jl,10,0.4,1.627660805247741,true,-5.898699756310571,-3.689999999999999,true,false,1.499999999998953
unitbox_c_10_20_3_50.jl,10,0.001,1.7320508148580733,true,-7.490000151486574,-6.720000000000001,true,false,1.3499999999990806
unitbox_c_10_20_3_50.jl,10,0.01,1.7320508148580733,true,-7.490000151486574,-6.720000000000001,true,false,1.0499999999993357
unitbox_c_10_20_3_50.jl,10,0.1,1.4142135714768993,true,-7.490000151486574,-7.300000000000001,true,false,2.940000000004686
unitbox_c_10_20_3_50.jl,10,0.2,1.7320508148580733,true,-7.490000151486574,-6.720000000000001,true,false,3.390000000007634
unitbox_c_10_20_3_50.jl,10,0.4,2.4124668305744698e-8,true,-7.490000151486574,-7.49,true,false,6.209999999993394
unitbox_c_30_30_1_100.jl,10,0.001,3.264387728628795,false,-35.64670495248412,-43.64691586167113,false,false,10.000020000021332
unitbox_c_30_30_1_100.jl,10,0.01,2.710405923230615,false,-35.64670495248412,-41.977796599940866,false,false,10.000020000021332
unitbox_c_30_30_1_100.jl,10,0.1,3.391113199475744,false,-35.64670495248412,-9.712608558713109,false,false,10.000020000021332
unitbox_c_30_30_1_100.jl,10,0.2,2.0949619617963244,false,-35.64670495248412,-31.86269430254452,false,false,10.000020000021332
unitbox_c_30_30_1_100.jl,10,0.4,3.674062025534257,false,-35.64670495248412,8.449999999999998,false,false,10.000020000021332
unitbox_c_30_30_1_50.jl,10,0.001,2.019601325783286,false,-53.17204568250343,-51.799782498876354,false,false,10.000020000021332
unitbox_c_30_30_1_50.jl,10,0.01,2.1258048465971613,false,-53.17204568250343,-53.410678466282,false,false,10.000020000021332
unitbox_c_30_30_1_50.jl,10,0.1,1.824122189702803,false,-53.17204568250343,-52.862663914264566,false,false,10.000020000021332
unitbox_c_30_30_1_50.jl,10,0.2,2.4719302890527906,false,-53.17204568250343,-49.76921998924011,false,false,10.000020000021332
unitbox_c_30_30_1_50.jl,10,0.4,1.784133054352364,true,-53.17204568250343,-51.61900359222563,true,false,10.000020000021332
unitbox_c_30_30_2_100.jl,10,0.001,1.158598027355481,true,-44.73181000215744,-43.81999999999999,true,false,1.0499999999993357
unitbox_c_30_30_2_100.jl,10,0.01,3.4727081428797,false,-44.73181000215744,-37.72800827438125,false,false,10.000020000021332
unitbox_c_30_30_2_100.jl,10,0.1,3.764589891331167,true,-44.73181000215744,-40.22000000000002,true,false,0.9599999999994122
unitbox_c_30_30_2_100.jl,10,0.2,2.178233400920816,true,-44.73181000215744,-40.274773029009516,true,false,7.439999999983244
unitbox_c_30_30_2_100.jl,10,0.4,2.868157883132567,true,-44.73181000215744,-35.27277934469122,true,false,8.729999999994211
unitbox_c_30_30_2_50.jl,10,0.001,0.10282009623491009,false,-48.37207524668069,-48.55961359649079,false,false,10.000020000021332
unitbox_c_30_30_2_50.jl,10,0.01,1.5851714630786973,false,-48.37207524668069,-48.03448835545406,false,false,10.000020000021332
unitbox_c_30_30_2_50.jl,10,0.1,0.2538375622923741,true,-48.37207524668069,-47.92198158841598,true,false,10.000020000021332
unitbox_c_30_30_2_50.jl,10,0.2,0.9624430168740907,true,-48.37207524668069,-46.06927664865115,true,false,10.000020000021332
unitbox_c_30_30_2_50.jl,10,0.4,2.189389682502137,false,-48.37207524668069,-41.231513989522234,false,false,10.000020000021332
unitbox_c_30_30_3_100.jl,10,0.001,3.187835322052305,false,-30.75000107312467,-31.892587016518668,true,false,5.66999999999785
unitbox_c_30_30_3_100.jl,10,0.01,3.31662481816231,true,-30.75000107312467,-38.230000000000004,true,false,1.2899999999991316
unitbox_c_30_30_3_100.jl,10,0.1,3.7660074385955618,true,-30.75000107312467,-33.96382478604947,true,false,3.0300000000052756
unitbox_c_30_30_3_100.jl,10,0.2,3.0394338466230333,true,-30.75000107312467,-27.681927195183494,true,false,3.0300000000052756
unitbox_c_30_30_3_100.jl,10,0.4,3.31662481816231,true,-30.75000107312467,-38.230000000000004,true,false,5.969999999995374
unitbox_c_30_30_3_50.jl,10,0.001,4.9307449100009134e-8,true,-44.45000108456796,-44.449999999999996,true,false,3.120000000005865
unitbox_c_30_30_3_50.jl,10,0.01,4.9307449100009134e-8,true,-44.45000108456796,-44.449999999999996,true,false,7.1399999999857195
unitbox_c_30_30_3_50.jl,10,0.1,4.9307449100009134e-8,true,-44.45000108456796,-44.449999999999996,true,false,4.830000000004781
unitbox_c_30_30_3_50.jl,10,0.2,4.9307449100009134e-8,true,-44.45000108456796,-44.449999999999996,true,false,3.000000000005079
unitbox_c_30_30_3_50.jl,10,0.4,4.9307449100009134e-8,true,-44.45000108456796,-44.449999999999996,true,false,2.670000000002917
unitbox_c_30_45_1_100.jl,10,0.001,0.009717650333703738,false,-79.99996280325081,-79.97047258224204,true,false,10.000020000021332
unitbox_c_30_45_1_100.jl,10,0.01,0.050795043880139557,false,-79.99996280325081,-79.84197042154015,true,false,10.000020000021332
unitbox_c_30_45_1_100.jl,10,0.1,2.5594804526382604,true,-79.99996280325081,-79.9428032007568,false,false,10.000020000021332
unitbox_c_30_45_1_100.jl,10,0.2,2.9563018655130047,false,-79.99996280325081,-32.97614174815269,false,false,10.000020000021332
unitbox_c_30_45_1_100.jl,10,0.4,2.3463361331654387,false,-79.99996280325081,-59.74630799019499,true,false,10.000020000021332
unitbox_c_30_45_1_50.jl,10,0.001,0.018582420455481006,false,-53.205071906015,-53.20751047810263,false,false,10.000020000021332
unitbox_c_30_45_1_50.jl,10,0.01,2.2465046643122784,false,-53.205071906015,-52.06831617344817,false,false,10.000020000021332
unitbox_c_30_45_1_50.jl,10,0.1,1.9796996192654088,true,-53.205071906015,-52.25999999999999,true,false,7.259999999984729
unitbox_c_30_45_1_50.jl,10,0.2,1.6941064595938564,false,-53.205071906015,-43.50981912070318,false,false,10.000020000021332
unitbox_c_30_45_1_50.jl,10,0.4,3.23323718831576,false,-53.205071906015,-15.397735081099714,false,false,10.000020000021332
unitbox_c_30_45_2_100.jl,10,0.001,0.07388670469668772,false,-77.136165962418,-76.86081892594704,false,false,10.000020000021332
unitbox_c_30_45_2_100.jl,10,0.01,0.204614297394648,false,-77.136165962418,-76.88445537385292,false,false,10.000020000021332
unitbox_c_30_45_2_100.jl,10,0.1,0.7229426057872936,false,-77.136165962418,-79.15317585908014,false,false,10.000020000021332
unitbox_c_30_45_2_100.jl,10,0.2,3.471157530551989,false,-77.136165962418,-2.9875231365028236,false,false,10.000020000021332
unitbox_c_30_45_2_100.jl,10,0.4,4.251543485676627,false,-77.136165962418,3.79,false,false,10.000020000021332
unitbox_c_30_45_2_50.jl,10,0.001,1.6001411139711035,false,-55.17631037101309,-56.22737112708668,false,false,10.000020000021332
unitbox_c_30_45_2_50.jl,10,0.01,1.2358618331620728,false,-55.17631037101309,-54.85802415252419,false,false,10.000020000021332
unitbox_c_30_45_2_50.jl,10,0.1,1.637404075228082,false,-55.17631037101309,-56.70897001525717,false,false,10.000020000021332
unitbox_c_30_45_2_50.jl,10,0.2,2.0434274858219883,false,-55.17631037101309,-45.54786405277325,false,false,10.000020000021332
unitbox_c_30_45_2_50.jl,10,0.4,2.276026795367333,false,-55.17631037101309,-50.31581630583198,true,false,10.000020000021332
