benchmark,bits,dual_status,ipopt_objective,objective,primal_status,random,time
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.1789363901061,true,false,3.720000000009796
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.178941842905049,true,true,6.359999999992156
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.179038011383618,true,true,4.20000000000998
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.179030769770543,true,true,6.77999999998869
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.17896880485862,true,true,6.809999999988443
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.179006634608935,true,true,4.740000000005524
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.178964455406115,true,true,4.350000000008742
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.178929711699652,true,true,4.20000000000998
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.179013914706902,true,true,2.610000000002524
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.178941917069945,true,true,7.289999999984482
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.178908026177288,true,true,6.719999999989185
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.178968866428505,true,true,5.280000000001068
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.179026903728781,true,true,4.590000000006762
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.178998413028635,true,true,2.5200000000019345
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-12.625588227048018,true,true,2.6400000000027206
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.178920088149008,true,true,4.260000000009485
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.17899489117899,true,true,6.509999999990918
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-12.625573416215863,true,true,2.6400000000027206
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.178918717353737,true,true,6.539999999990671
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-12.625570432246466,true,true,2.7300000000033102
unitbox_c_10_10_1_100.jl,0,true,-14.179042131697477,-14.178906381026463,true,true,5.879999999996117
unitbox_c_10_10_1_100.jl,8,false,-14.179042131697477,-14.175616298573171,false,false,5.040000000003048
unitbox_c_10_10_1_100.jl,8,false,-14.179042131697477,-10.700079667070689,true,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,true,-14.179042131697477,-12.19281646660325,true,true,1.6799999999988
unitbox_c_10_10_1_100.jl,8,true,-14.179042131697477,-13.178764628627597,false,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,false,-14.179042131697477,-14.150000000000002,true,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,true,-14.179042131697477,-13.53,true,true,0.5999999999997183
unitbox_c_10_10_1_100.jl,8,true,-14.179042131697477,-13.070753301497133,true,true,10.000020000021332
